"","X1","X2","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3","X3"
"11","Power & Turbines","Number of turbines","1","5","","5","1","6","1","1","2","6","2","80  - 106","","","","","","2","1","85  - 187","1","","","","","","35  - 200","15","12  - 15","18","","","","100","","","","","","","","","","","","",""
"12","Power & Turbines","Total turbine height","20 m","","","175 m","","","","","175 m","146 m","","","","","","","","","","","","","","","","","","","","","","","","100 m","","","","","","","","","","","","",""
"13","Power & Turbines","Hub height","15.24 m","","","100.00 m","","","","","100.00 m","83.00 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","Power & Turbines","Rotor diameter","9.6 m","7.6 m","","150 m","","130 m","","","150 m","126 m","","","","","","","","","","","","","","","","","","","","70.65 m","","","","","","","","","","","","","","","","",""
"15","Power & Turbines","Foundation","Floating: Semi-Submersible Platform (VolturnUS floating platform - platform makes use of low cost concrete and light weight composite tower.)","Floating: Semi-Submersible Platform","Floating:","Grounded: Jacket (Piled) (Each jacket weighs approximately 840 tonnes comprising a 440t lower section and a 400t top section (deck).)","Floating: Semi-Submersible Platform","Grounded: Jacket (There will also be a demonstration foundation of Keystone Engineering's twisted foundation.)","Grounded:","Grounded: Mobile Jack-Up (Titan Platform)","Grounded: Monopile (8m diameter)","Grounded: Suction Bucket (450 tonne mono bucket foundations which combine gravity base, monopile, and suction bucket technology to minimize the environmental impacts and reduce costs. The foundation has an ice cone to protect it from ice flows.
 )","Floating: Semi-Submersible Platform (VolturnUS floating concrete foundation. Three or four steel drag embedment anchors per turbine or three or four gravity anchors (i.e. large weighted anchors) per turbine and associated mooring lines)","Grounded: Monopile","Grounded:","Grounded:","Grounded:","Grounded: Jacket (Tripod Jackets)","Grounded: Monopile","Floating: Semi-Submersible Platform","Floating: Spar Floater","Grounded: Jacket","Floating: Spar Floater","Floating: Semi-Submersible Platform (VolturnUS floating platform)","Floating: Semi-Submersible Platform (VolturnUS floating platform)","Grounded:","Grounded:","Grounded:","Various (Jacket and gravity based.)","Grounded: Monopile","Grounded:","Grounded: Monopile","Grounded:","Grounded:","Floating:  (Principle Power Inc’s WindFloat technology)","Floating:  (Statoil’s Hywind and Principle Power’s
WindFloat being considered)","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Grounded:","Floating:","Floating:"
"16","Windspeed","10 year mean wind speed (2000-2009)","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now","Available online now"
"17","Costs","Stated project cost","USD(mill) 12.00","","","USD(mill) 360.00","","USD(mill) 188.00","","","USD(mill) 300.00","USD(mill) 126.00","USD(mill) 96.00","","","","","USD(mill) 360.00","","","","USD(mill) 2500.00","","","","","","","USD(mill) 5000.00","USD(mill) 1375.00","USD(mill) 740.00","USD(mill) 127.00","","","","","","","","","","","","","","","","",""
"18","Location & Environment","Sea name","Atlantic Ocean","St Johns River","Muskegon Lake","Atlantic Ocean","To be decided","Atlantic Ocean","Gulf of Mexico","Gulf of Mexico","Atlantic Ocean","Lake Erie","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Gulf of Mexico","Atlantic Ocean","To be decided","Undecided","Atlantic Ocean","Undecided","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Gulf of Mexico","Atlantic Ocean","Atlantic Ocean","Pacific Ocean","Pacific Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Pacific Ocean","Pacific Ocean"
"19","Location & Environment","Centre latitude","44.385° (Note: Estimated/Illustrative Location)","29.684°","43.231° (Note: Estimated/Illustrative Location)","41.116°","29.699° (Note: Estimated/Illustrative Location)","39.312°","29.162° (Note: Estimated/Illustrative Location)","29.252° (Note: Estimated/Illustrative Location)","36.907°","41.612°","43.715°","41.033°","40.964°","41.088°","40.295°","29.161°","38.662°","29.684° (Note: Estimated/Illustrative Location)","40.705° (Note: Estimated/Illustrative Location)","38.347°","40.722° (Note: Estimated/Illustrative Location)","43.693° (Note: Estimated/Illustrative Location)","43.677° (Note: Estimated/Illustrative Location)","39.092°","39.361°","36.339°","41.147°","38.547°","41.103°","29.742° (Note: Estimated/Illustrative Location)","40.886°","36.908°","38.390°","35.586°","41.379°","41.235°","41.019° (Note: Estimated/Illustrative Location)","40.788°","40.683°","39.985°","39.985°","39.985°","39.985°","33.461°","33.698°","21.688°","20.994°"
"20","Location & Environment","Centre longitude","-68.824° (Note: Estimated/Illustrative Location)","-81.649°","-86.307° (Note: Estimated/Illustrative Location)","-71.521°","-81.666° (Note: Estimated/Illustrative Location)","-74.411°","-94.773° (Note: Estimated/Illustrative Location)","-94.759° (Note: Estimated/Illustrative Location)","-75.491°","-81.810°","-69.316°","-70.490°","-70.833°","-71.082°","-73.315°","-94.773°","-74.696°","-81.665° (Note: Estimated/Illustrative Location)","-124.242° (Note: Estimated/Illustrative Location)","-74.760°","-124.239° (Note: Estimated/Illustrative Location)","-69.323° (Note: Estimated/Illustrative Location)","-69.324° (Note: Estimated/Illustrative Location)","-74.315°","-74.053°","-75.127°","-71.073°","-74.667°","-71.210°","-92.057° (Note: Estimated/Illustrative Location)","-70.671°","-75.349°","-123.158°","-121.688°","-70.983°","-70.831°","-71.403° (Note: Estimated/Illustrative Location)","-70.473°","-70.236°","-72.942°","-72.942°","-72.942°","-72.942°","-77.915°","-78.288°","-158.509°","-157.863°"
